ID,Cenário,Passos,Resultado esperado,Prioridade
1,Acesso sem login ao perfil,"Acessar /perfil sem estar autenticado","Usuário deve ser redirecionado para a home/login do portal",Alta
2,Acesso sem login ao agendamento,"Acessar /agendar sem autenticação","Usuário deve ser redirecionado para a home/login",Alta
3,Acesso sem login aos detalhes do agendamento,"Acessar /agendar/detalhes diretamente sem sessão","Usuário deve ser redirecionado e não ver a tela protegida",Alta
4,Sessão expirada durante uso,"Entrar no portal, expirar/remover token e tentar abrir tela protegida","Sistema deve exigir novo login",Alta
5,Usuário SSO sem cadastro local,"Logar com usuário que existe no SSO mas não no banco local e acessar /perfil","Sistema deve redirecionar para /validar-cadastro",Alta
6,Tela de validar cadastro carregando dados do SSO,"Abrir /validar-cadastro com usuário sem cadastro local","Tabela deve exibir nome, CPF, contato e endereço vindos do SSO",Alta
7,Aceite obrigatório dos termos,"Abrir /validar-cadastro e não marcar checkbox","Botão Seguir deve permanecer desabilitado",Alta
8,Abertura dos termos,"Na tela /validar-cadastro, clicar em termos de uso/política","Modal de termos deve abrir corretamente",Média
9,Cadastro sem bairro vindo do SSO,"Usar usuário cujo perfil não tenha bairro","Ao clicar em Seguir, sistema deve exibir erro e não concluir cadastro",Alta
10,Concluir validação de cadastro,"Marcar aceite e clicar em Seguir com dados válidos","Cadastro deve ser criado/atualizado e usuário deve ir para /perfil",Alta
11,Reacesso após validar cadastro,"Após conclusão do cadastro, abrir novamente rota protegida","Usuário deve acessar normalmente sem voltar para /validar-cadastro",Alta
12,Perfil exibe dados básicos,"Em /perfil, abrir aba Perfil","Nome, CPF, email, telefone, logradouro, número, bairro, complemento e CEP devem aparecer corretamente",Alta
13,Perfil usa dados locais e fallback do SSO,"Testar caso com campos vazios no cadastro local e preenchidos no SSO","Tela deve mostrar os dados disponíveis, priorizando local e usando fallback do SSO",Média
14,Estrutura do menu do cidadão,"Em /perfil, verificar menu lateral","Devem existir as opções Perfil, Agendamentos e Agendar",Média
15,Agendar a partir do perfil,"Em /perfil, clicar na aba Agendar","Deve abrir o componente de solicitação de agendamento dentro do perfil",Média
